,date_performed,bioassay_performed,biological_rep_number,technical_rep_number,performed_by,kd_scored_by,Mort_ScoredBy,X48hr_scored_by,X72hr_scored_by,mosquito_wet_weights_g,mosquito_dry_weights_g,mosquito_wing_lengths,start_exposure_temperature_c,start_exposure_humidity_percentage,end_exposure_temperature_c,end_exposure_humidity_percentage,X24_hour_temperature_c,Mort_Humid_Perc,X48_hour_temperature_c,X48_hour_humidity_percentage,X72_hour_temperature_c,X72_hour_humidity_percentage,colony,insecticide,concentration_percentage,concentration_mgm2,concentration_ugbottle,Knockdown_60min,Mortality_24hr,X48_hour_dead,X72_hour_dead,total_mosquitoes,data_input_checked,bioassay_notes,RawMortProp,StartHumidProp,EndHumidProp,MortHumidProp,HumidDelta,Alive,Year,bottles_coated_by
1,26/01/2022,cdc bottle,1,1,gpr,gpr,gpr,NA,NA,NA,0.0085,2.943,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,acetone,NA,NA,negative,2,2,NA,NA,28,NA,NA,0.071428571,0.787,0.782,NA,0.5,26,2022,Not Assessed
2,26/01/2022,cdc bottle,1,2,gpr,gpr,gpr,NA,NA,NA,0.0085,2.943,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,acetone,NA,NA,negative,0,0,NA,NA,25,NA,NA,0,0.787,0.782,NA,0.5,25,2022,Not Assessed
3,26/01/2022,cdc bottle,1,1,gpr,gpr,gpr,NA,NA,NA,0.0085,2.943,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,25,25,NA,NA,25,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
4,26/01/2022,cdc bottle,1,2,gpr,gpr,gpr,NA,NA,NA,0.0085,2.943,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,26,26,NA,NA,26,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
5,26/01/2022,cdc bottle,1,3,gpr,gpr,gpr,NA,NA,NA,0.0085,2.943,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,27,27,NA,NA,27,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
6,26/01/2022,cdc bottle,1,4,gpr,gpr,gpr,NA,NA,NA,0.0085,2.943,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,26,26,NA,NA,26,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
7,26/01/2022,cdc bottle,1,5,gpr,gpr,gpr,NA,NA,NA,0.0085,2.943,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,27,27,NA,NA,27,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
8,26/01/2022,cdc bottle,1,6,gpr,gpr,gpr,NA,NA,NA,0.0085,2.943,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,29,29,NA,NA,29,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
9,26/01/2022,cdc bottle,1,7,gpr,gpr,gpr,NA,NA,NA,0.0085,2.943,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,25,25,NA,NA,25,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
10,26/01/2022,cdc bottle,1,1,gpr,jag,jag,NA,NA,NA,0.0085,2.943,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,acetone,NA,NA,negative,4,2,NA,NA,28,NA,NA,0.071428571,0.787,0.782,NA,0.5,26,2022,Not Assessed
11,26/01/2022,cdc bottle,1,2,gpr,jag,jag,NA,NA,NA,0.0085,2.943,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,acetone,NA,NA,negative,1,0,NA,NA,25,NA,NA,0,0.787,0.782,NA,0.5,25,2022,Not Assessed
